mmu:66171	ec:3.1.1.31
mmu:24067	ec:3.6.5.4
mmu:11717	ec:3.5.4.6
mmu:11722	ec:3.2.1.1
mmu:11754	ec:1.4.3.21
mmu:11846	ec:3.5.3.1
mmu:11847	ec:3.5.3.1
mmu:11898	ec:6.3.4.5
mmu:11907	ec:2.3.2.8
mmu:58988	ec:2.7.11.1
mmu:11981	ec:7.6.2.1
mmu:11997	ec:1.1.1.21
mmu:12035	ec:2.6.1.42
mmu:12038	ec:3.1.1.8
mmu:12350	ec:4.2.1.1
mmu:12352	ec:4.2.1.1
mmu:12353	ec:4.2.1.1
mmu:12494	ec:3.2.2.6
mmu:12494	ec:2.4.99.20
mmu:12495	ec:3.6.1.5
mmu:12496	ec:3.6.1.3
mmu:12499	ec:3.6.1.6
mmu:12716	ec:2.7.3.2
mmu:12799	ec:3.1.4.37
mmu:12846	ec:2.1.1.6
mmu:12876	ec:3.4.17.10
mmu:12908	ec:2.3.1.7
mmu:13026	ec:2.7.7.15
mmu:13030	ec:3.4.22.1
mmu:13032	ec:3.4.14.1
mmu:13033	ec:3.4.23.5
mmu:13035	ec:3.4.21.20
mmu:13036	ec:3.4.22.16
mmu:13038	ec:3.4.22.38
mmu:13039	ec:3.4.22.15
mmu:13040	ec:3.4.22.27
mmu:13070	ec:1.14.15.6
mmu:13074	ec:1.14.14.19
mmu:13074	ec:1.14.14.32
mmu:13079	ec:1.14.14.16
mmu:13122	ec:1.14.14.23
mmu:13142	ec:1.4.3.3
mmu:13178	ec:2.7.1.74
mmu:13360	ec:1.3.1.21
mmu:13361	ec:1.5.1.3
mmu:13382	ec:1.8.1.4
mmu:13423	ec:3.1.22.1
mmu:13433	ec:2.1.1.37
mmu:13437	ec:3.4.11.21
mmu:13478	ec:2.7.8.15
mmu:13480	ec:2.4.1.83
mmu:13595	ec:5.3.3.5
mmu:13806	ec:4.2.1.11
mmu:13807	ec:4.2.1.11
mmu:13808	ec:4.2.1.11
mmu:14042	ec:2.4.1.224
mmu:14042	ec:2.4.1.225
mmu:14043	ec:2.4.1.224
mmu:14043	ec:2.4.1.225
mmu:14085	ec:3.7.1.2
mmu:14137	ec:2.5.1.21
mmu:14151	ec:4.99.1.1
mmu:14151	ec:4.99.1.9
mmu:14187	ec:1.1.1.21
mmu:14198	ec:3.6.1.29
mmu:14261	ec:1.14.13.8
mmu:14262	ec:1.14.13.8
mmu:14343	ec:2.4.1.69
mmu:14377	ec:3.1.3.9
mmu:14380	ec:1.1.1.49
mmu:14380	ec:1.1.1.363
mmu:14381	ec:1.1.1.49
mmu:14381	ec:1.1.1.363
mmu:14415	ec:4.1.1.15
mmu:14417	ec:4.1.1.15
mmu:14420	ec:3.2.1.46
mmu:14421	ec:2.4.1.92
mmu:14431	ec:2.1.1.2
mmu:14433	ec:1.2.1.12
mmu:14466	ec:3.2.1.45
mmu:14537	ec:2.4.1.102
mmu:14538	ec:2.4.1.150
mmu:14544	ec:3.5.4.3
mmu:14555	ec:1.1.1.8
mmu:14583	ec:2.6.1.16
mmu:14584	ec:2.6.1.16
mmu:14635	ec:2.7.1.6
mmu:14645	ec:6.3.1.2
mmu:14661	ec:1.4.1.3
mmu:14712	ec:2.3.1.42
mmu:14751	ec:5.3.1.9
mmu:14775	ec:1.11.1.9
mmu:14776	ec:1.11.1.9
mmu:14778	ec:1.11.1.9
mmu:14780	ec:1.11.1.9
mmu:14858	ec:2.5.1.18
mmu:14859	ec:2.5.1.18
mmu:14860	ec:2.5.1.18
mmu:14862	ec:2.5.1.18
mmu:14863	ec:2.5.1.18
mmu:14866	ec:2.5.1.18
mmu:14867	ec:2.5.1.18
mmu:14870	ec:2.5.1.18
mmu:14871	ec:2.5.1.18
mmu:14872	ec:2.5.1.18
mmu:14873	ec:2.5.1.18
mmu:14923	ec:2.7.4.8
mmu:14933	ec:2.7.1.30
mmu:14936	ec:2.4.1.11
mmu:14938	ec:3.4.21.78
mmu:14939	ec:3.4.21.79
mmu:15107	ec:1.1.1.35
mmu:15109	ec:4.3.1.3
mmu:15159	ec:4.4.1.17
mmu:15277	ec:2.7.1.1
mmu:15356	ec:4.1.3.4
mmu:15368	ec:1.14.14.18
mmu:15452	ec:2.4.2.8
mmu:15485	ec:1.1.1.62
mmu:15495	ec:1.1.1.145
mmu:15495	ec:5.3.3.1
mmu:15496	ec:1.1.1.145
mmu:15496	ec:5.3.3.1
mmu:15925	ec:3.4.24.56
mmu:15926	ec:1.1.1.42
mmu:15929	ec:1.1.1.41
mmu:15931	ec:3.1.6.13
mmu:15932	ec:3.2.1.76
mmu:16329	ec:3.1.3.57
mmu:16548	ec:2.7.1.3
mmu:16828	ec:1.1.1.27
mmu:16912	ec:3.4.25.1
mmu:16913	ec:3.4.25.1
mmu:16956	ec:3.1.1.34
mmu:16993	ec:3.3.2.6
mmu:17025	ec:4.2.1.24
mmu:17117	ec:5.1.99.4
mmu:17158	ec:3.2.1.114
mmu:17308	ec:2.4.1.101
mmu:17309	ec:2.4.1.144
mmu:17314	ec:2.1.1.63
mmu:17960	ec:2.3.1.5
mmu:17961	ec:2.3.1.5
mmu:17962	ec:2.3.1.5
mmu:18242	ec:2.6.1.13
mmu:18263	ec:4.1.1.17
mmu:18416	ec:2.1.3.3
mmu:18537	ec:2.1.1.77
mmu:18550	ec:3.4.21.75
mmu:18600	ec:3.5.3.15
mmu:18641	ec:2.7.1.11
mmu:18642	ec:2.7.1.11
mmu:18655	ec:2.7.2.3
mmu:18984	ec:1.6.2.4
mmu:19146	ec:3.4.21.9
mmu:19166	ec:3.4.25.1
mmu:19167	ec:3.4.25.1
mmu:19170	ec:3.4.25.1
mmu:19171	ec:3.4.25.1
mmu:19173	ec:3.4.25.1
mmu:19177	ec:3.4.25.1
mmu:19223	ec:5.3.99.4
mmu:19752	ec:3.1.27.5
mmu:20229	ec:2.3.1.57
mmu:20425	ec:2.1.2.1
mmu:20440	ec:2.4.99.1
mmu:20441	ec:2.4.99.6
mmu:20603	ec:2.5.1.22
mmu:20690	ec:3.2.1.35
mmu:20751	ec:1.1.1.153
mmu:20773	ec:2.3.1.50
mmu:20775	ec:1.14.14.17
mmu:20810	ec:2.5.1.16
mmu:21823	ec:1.14.16.2
mmu:21881	ec:2.2.1.1
mmu:21990	ec:1.14.16.4
mmu:22017	ec:2.1.1.67
mmu:22019	ec:3.4.14.10
mmu:22235	ec:1.1.1.22
mmu:22271	ec:2.4.2.3
mmu:22275	ec:4.1.1.37
mmu:22276	ec:4.2.1.75
mmu:22375	ec:6.1.1.2
mmu:23831	ec:4.2.1.1
mmu:23917	ec:1.1.1.205
mmu:57813	ec:2.7.1.21
mmu:58193	ec:2.4.1.223
mmu:66204	ec:3.6.1.7
mmu:66401	ec:3.6.1.17
mmu:66522	ec:3.4.19.3
mmu:67092	ec:2.1.4.1
mmu:72039	ec:6.4.1.4
mmu:80911	ec:1.3.3.6
mmu:83768	ec:3.4.14.2
mmu:14732	ec:2.3.1.15
mmu:18948	ec:2.1.1.28
mmu:11650	ec:3.1.3.1
mmu:11648	ec:3.1.3.1
mmu:18534	ec:4.1.1.32
mmu:19072	ec:3.4.21.26
mmu:19063	ec:3.1.2.22
mmu:54397	ec:3.1.2.22
mmu:11565	ec:6.3.4.4
mmu:11566	ec:6.3.4.4
mmu:19702	ec:3.4.23.15
mmu:19703	ec:5.1.3.8
mmu:63857	ec:1.13.11.63
mmu:23918	ec:1.1.1.205
mmu:26441	ec:3.4.25.1
mmu:26442	ec:3.4.25.1
mmu:26443	ec:3.4.25.1
mmu:26444	ec:3.4.25.1
mmu:26445	ec:3.4.25.1
mmu:26446	ec:3.4.25.1
mmu:26897	ec:3.1.2.2
mmu:26912	ec:2.3.1.29
mmu:26971	ec:3.1.1.4
mmu:27357	ec:2.4.1.186
mmu:27369	ec:2.7.1.113
mmu:50770	ec:7.6.2.1
mmu:50771	ec:7.6.2.1
mmu:51797	ec:6.3.4.2
mmu:53618	ec:2.4.1.68
mmu:53895	ec:3.4.21.92
mmu:54369	ec:2.7.4.6
mmu:54616	ec:2.4.1.223
mmu:54616	ec:2.4.1.224
mmu:56078	ec:4.2.1.1
mmu:56219	ec:2.4.1.224
